main_id,st_name,dist,dist_name,start_time,end_time,side,from,to,miles,section,one_way,week_1,week_2,week_3,week_4,week_5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,every_day,year_round,north_end_pilot,timestamp,parent,losta,hista,_ingest_datetime
1262,Harriet St,4,Allston/Brighton,12:00,16:00,Even,Parsons St,South Hobart St,0.204545454545455,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2017-06-15 17:08:42+00,HARRI1,0,1080,2024-09-12 04:31:41+00
1263,Harriet St,4,Allston/Brighton,12:00,16:00,Odd,Parsons St,South Hobart St,0.204545454545455,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2017-06-15 17:08:38+00,HARRI1,0,1080,2024-09-12 04:31:41+00
1264,Harrishof St,10R,Roxbury,12:00,16:00,Even,Humboldt Ave,Walnut Ave,0.239015151515152,,f,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HARRI4,0,1262,2024-09-12 04:31:41+00
1265,Harrishof St,10R,Roxbury,12:00,16:00,Odd,Humboldt Ave,Walnut Ave,0.239015151515152,,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,2012-02-14 13:36:32+00,HARRI4,0,1262,2024-09-12 04:31:41+00
1266,Harrison Ave,1S,South End,00:01,07:00,Even Side Median,Herald St,East Berkeley St,0.205681818181818,,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,2012-02-29 15:06:53+00,HARRI5,2329,3415,2024-09-12 04:31:41+00
1267,Harrison Ave,1T,Chinatown,00:01,07:00,,Essex St,Herald St,0.441098484848485,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2012-02-29 15:06:53+00,HARRI5,0,2329,2024-09-12 04:31:41+00
1268,Harrison Ave,1S,South End,12:00,16:00,Even,Massachusetts Ave,East Lenox St,0.132575757575758,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,t,2016-07-15 15:02:00+00,HARRI5,7692,8392,2024-09-12 04:31:41+00
1269,Harrison Ave,1S,South End,12:00,16:00,Odd,Traveler St,East Brookline St,0.56344696969,,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,t,2016-03-31 18:53:56+00,HARRI5,3034,6009,2024-09-12 04:31:41+00
1270,Harrison Ave,1S,South End,12:00,16:00,Odd,Massachusetts Ave,East Lenox St,0.132575757575758,,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,t,2016-07-15 15:01:52+00,HARRI5,7692,8392,2024-09-12 04:31:41+00
1271,Traveler St,1S,South End,12:00,16:00,Even,East Berkeley St,East Brookline St,0.56344696969,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,t,2023-03-28 15:21:09+00,HARRI5,3034,6009,2024-09-12 04:31:41+00
1272,Harrison Avenue Ext,1T,Chinatown,00:01,07:00,Ext,Harrison Ave,Dead End,0.0695075757575758,,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2012-02-29 15:06:53+00,HARRI8,0,367,2024-09-12 04:31:41+00
1273,Hartland St,3,North Dorchester,08:00,12:00,Even,Saxton St,Sydney St,0.065719696969697,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARTL1,0,347,2024-09-12 04:31:41+00
1274,Hartland St,3,North Dorchester,08:00,12:00,Odd,Saxton St,Sydney St,0.065719696969697,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARTL1,0,347,2024-09-12 04:31:41+00
1275,Hartley Ter,4,Allston/Brighton,08:00,12:00,Even,Ashford St,Wadsworth St,0.0386363636363636,,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARTL3,0,204,2024-09-12 04:31:41+00
1276,Hartley Ter,4,Allston/Brighton,08:00,12:00,Odd,Ashford St,Wadsworth St,0.0386363636363636,,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARTL3,0,204,2024-09-12 04:31:41+00
1277,Harvard Sq,1C,Charlestown,08:00,12:00,Even,Harvard St,Harvard St,0.0867424242424242,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2017-08-15 12:37:32+00,HARVA4,0,458,2024-09-12 04:31:41+00
1278,Harvard Sq,1C,Charlestown,08:00,12:00,Odd,Harvard St,Harvard St,0.0867424242424242,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2017-08-15 12:37:26+00,HARVA4,0,458,2024-09-12 04:31:41+00
1279,Linden St,3,North Dorchester,08:00,12:00,Odd,Freeport St,Dorchester Ave,0.0606060606060606,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,LINDE2,0,320,2024-09-12 04:31:41+00
1280,Harvard St,7,South Dorchester,08:00,12:00,Even,Morton St,Walk Hill St,0.473106060606061,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARVA6,7666,10164,2024-09-12 04:31:41+00
1281,Harvard St,7,South Dorchester,08:00,12:00,Odd,Morton St,Walk Hill St,0.473106060606061,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARVA6,7666,10164,2024-09-12 04:31:41+00
1282,Harvard St,1C,Charlestown,08:00,12:00,Even,City Sq,Prescott St,0.163636363636364,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2017-08-15 12:37:21+00,HARVA7,0,864,2024-09-12 04:31:41+00
1283,Harvard St,1C,Charlestown,08:00,12:00,Odd,City Sq,Prescott St,0.163636363636364,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2017-08-15 12:37:04+00,HARVA7,0,864,2024-09-12 04:31:41+00
1284,Harvard St,1C,Charlestown,00:00,07:00,,Harrison Ave,Hudson St,0.0712121212121212,,f,t,t,t,t,t,t,t,t,t,t,t,t,t,t,f,2017-08-15 12:36:59+00,HARVA8,265,641,2024-09-12 04:31:41+00
1285,Harvard St,7,South Dorchester,00:00,07:00,Even,Washington St,Blue Hill Ave,0.85321969697,,f,t,t,t,t,t,f,f,f,f,t,f,f,f,t,f,2016-03-09 16:12:53+00,HARVA6,0,4505,2024-09-12 04:31:41+00
1286,Harvard St,7,South Dorchester,00:00,07:00,Odd,Washington St,Blue Hill Ave,0.85321969697,,f,t,t,t,t,t,f,f,f,t,f,f,f,f,t,f,2016-03-09 16:12:33+00,HARVA6,0,4505,2024-09-12 04:31:41+00
1287,Harwood St,7,South Dorchester,08:00,12:00,Odd,Willowwood St,Lucerne St,0.142234848484848,,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARWO1,0,751,2024-09-12 04:31:41+00
1288,Harwood St,7,South Dorchester,08:00,12:00,Even,Willowwood St,Lucerne St,0.142234848484848,,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,2012-02-14 13:36:32+00,HARWO1,0,751,2024-09-12 04:31:41+00
1289,Hatch St,5,South Boston,09:00,13:00,Odd,East Eighth St,Marine Rd,0.0570075757575758,,f,t,f,t,f,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,HATCH1,0,301,2024-09-12 04:31:41+00
1290,Hatch St,5,South Boston,09:00,13:00,Even,East Eighth St,Marine Rd,0.0570075757575758,,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,2012-02-14 13:36:32+00,HATCH1,0,301,2024-09-12 04:31:41+00
1291,Hathaway St,2,Jamaica Plain,12:00,16:00,Odd,Centre St,Bardwell St,0.0556818181818182,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HATHA1,0,294,2024-09-12 04:31:41+00
1292,Hathaway St,2,Jamaica Plain,12:00,16:00,Even,Centre St,Bardwell St,0.0556818181818182,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HATHA1,0,294,2024-09-12 04:31:41+00
1293,Havelock St,7,South Dorchester,12:00,16:00,Even,Blue Hill Ave,Morton St,0.132386363636364,,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HAVEL1,0,699,2024-09-12 04:31:41+00
1294,Havelock St,7,South Dorchester,12:00,16:00,Odd,Blue Hill Ave,Morton St,0.132386363636364,,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,2012-02-14 13:36:32+00,HAVEL1,0,699,2024-09-12 04:31:41+00
